Invoice number,Payment due,Payment paid,Late<30,30<Late<60,60<Late<90,90<Late
56106,166,166,166,0,0,0
10965,1348,0,0,0,0,0
total due: 1514, total paid: 166
7-2017
56143,59,0,0,0,0,0
56178,4447,4447,4447,0,0,0
103436,-474,0,0,0,0,0
11157,790,790,790,0,0,0
11161,2366,2366,2366,0,0,0
11162,95,95,95,0,0,0
11058,1586,1586,1586,0,0,0
5001213,3666,0,0,0,0,0
56254,294,294,294,0,0,0
11271,698,698,698,0,0,0
11272,500,500,500,0,0,0
11274,59,59,59,0,0,0
56134,4016,4016,4016,0,0,0
11079,1986,1986,1986,0,0,0
56172,5283,4954,4954,0,0,0
56166,15093,0,0,0,0,0
10432,-202.38,0,0,0,0,0
11085,9961,0,0,0,0,0
11109,2644,0,0,0,0,0
11110,5800,0,0,0,0,0
11201,215,0,0,0,0,0
56137,14682,0,0,0,0,0
11281,672,672,672,0,0,0
10602,-173,0,0,0,0,0
11160,700,0,0,0,0,0
56133,100,0,0,0,0,0
11179,1420,0,0,0,0,0
56135,601,0,0,0,0,0
11171,1104,1104,1104,0,0,0
11198,2897,0,0,0,0,0
11046,977,0,0,0,0,0
56151,1297,1297,1297,0,0,0
56182,1112,1112,1112,0,0,0
11042,299,0,0,0,0,0
56144,632,632,632,0,0,0
56142,21088,7730,7730,0,0,0
56160,3046,3046,3046,0,0,0
11141,2029,857,857,0,0,0
56155,3907,3907,3907,0,0,0
11083,889,889,889,0,0,0
10466,-6000,0,0,0,0,0
10511,-2233,0,0,0,0,0
11192,18860,0,0,0,0,0
11103,42,0,0,0,0,0
11138,229,0,0,0,0,0
11139,182,0,0,0,0,0
103413,-2232,0,0,0,0,0
11078,1642,0,0,0,0,0
56140,314,0,0,0,0,0
11121,1011,0,0,0,0,0
11164,8722,0,0,0,0,0
11189,4994,0,0,0,0,0
56162,9813,0,0,0,0,0
11041,1628,0,0,0,0,0
11129,35,0,0,0,0,0
109,-11700,0,0,0,0,0
10475,-5000,0,0,0,0,0
11096,64,0,0,0,0,0
56171,17483,0,0,0,0,0
11124,625,0,0,0,0,0
103420,-142,0,0,0,0,0
11065,6497,6497,6497,0,0,0
56148,4779,0,0,0,0,0
56169,269,0,0,0,0,0
56147,2238,0,0,0,0,0
56153,1420,0,0,0,0,0
11059,316,316,316,0,0,0
103425,-601,0,0,0,0,0
11045,809,809,809,0,0,0
11127,8693,0,0,0,0,0
11132,1287,0,0,0,0,0
56163,1131,0,0,0,0,0
11049,790,790,790,0,0,0
10518,-10000,0,0,0,0,0
56187,4861,0,0,0,0,0
56188,326,0,0,0,0,0
103402,-601,0,0,0,0,0
103403,-3165,0,0,0,0,0
11070,1160,0,0,0,0,0
11125,7900,0,0,0,0,0
11126,379,0,0,0,0,0
56161,485,0,0,0,0,0
11104,2100,0,0,0,0,0
11105,3448,0,0,0,0,0
103418,-314,0,0,0,0,0
11152,135,0,0,0,0,0
10478,-150,0,0,0,0,0
11181,380,0,0,0,0,0
56181,413,0,0,0,0,0
11052,236,0,0,0,0,0
11207,3238,0,0,0,0,0
10516,-1500,0,0,0,0,0
11211,524,0,0,0,0,0
56149,635,0,0,0,0,0
11131,475,0,0,0,0,0
56138,77,0,0,0,0,0
56154,814,0,0,0,0,0
56167,1471,0,0,0,0,0
11217,3813,0,0,0,0,0
10487,-4500,0,0,0,0,0
11170,687,0,0,0,0,0
11174,237,0,0,0,0,0
56157,4537,0,0,0,0,0
11067,65,65,65,0,0,0
11191,450,0,0,0,0,0
11106,8737,0,0,0,0,0
11186,8077,0,0,0,0,0
103438,-491,0,0,0,0,0
11092,3159,0,0,0,0,0
11055,490,490,490,0,0,0
11062,362,362,362,0,0,0
56184,433,0,0,0,0,0
56168,2563,0,0,0,0,0
56156,4575,0,0,0,0,0
11149,11348,0,0,0,0,0
11188,135,0,0,0,0,0
11199,87,0,0,0,0,0
11115,135,0,0,0,0,0
11072,365,0,0,0,0,0
total due: 240716.6, total paid: 52366
8-2017
56200,876,0,0,0,0,0
56224,6474,0,0,0,0,0
56239,181,0,0,0,0,0
11323,508,508,508,0,0,0
56207,328,328,328,0,0,0
11325,3800,3800,3800,0,0,0
11284,2630,2100,2100,0,0,0
11297,57,57,57,0,0,0
56242,72,72,72,0,0,0
11278,82,0,0,0,0,0
11311,1796,0,0,0,0,0
10575,-3500,0,0,0,0,0
11261,3500,0,0,0,0,0
10604,-1000,0,0,0,0,0
10605,-200,0,0,0,0,0
103467,-671,0,0,0,0,0
103454,-49,0,0,0,0,0
11236,22,0,0,0,0,0
103452,-177,0,0,0,0,0
11367,913,0,0,0,0,0
total due: 15642, total paid: 6865
8-2017
56244,16837,16837,16837,0,0,0
11358,519,0,0,0,0,0
56222,10696,0,0,0,0,0
56194,3199,0,0,0,0,0
56237,546,0,0,0,0,0
10638,-1500,0,0,0,0,0
5001218,2468,0,0,0,0,0
56252,5602,0,0,0,0,0
56241,149,149,149,0,0,0
10672,-23311,0,0,0,0,0
3031521,23311,0,0,0,0,0
56165,281,0,0,0,0,0
56220,1035,0,0,0,0,0
11241,21872,31,31,0,0,0
56229,32942,0,0,0,0,0
56197,319,319,319,0,0,0
56228,1332,1332,1332,0,0,0
11288,295,0,0,0,0,0
56192,447,0,0,0,0,0
11252,2059,2059,2059,0,0,0
11332,1217,1217,1217,0,0,0
56191,114,114,114,0,0,0
11290,19372,19372,19372,0,0,0
56203,922,922,922,0,0,0
11279,1247,1247,1247,0,0,0
11338,64,64,64,0,0,0
56214,1020,1020,1020,0,0,0
11235,281,281,281,0,0,0
11321,7469,7469,7469,0,0,0
56233,295,295,295,0,0,0
56223,4748,4748,4748,0,0,0
11257,1500,0,0,0,0,0
56216,228,0,0,0,0,0
56211,172,172,172,0,0,0
56215,1096,0,0,0,0,0
56227,21871,21871,21871,0,0,0
103474,-45,0,0,0,0,0
11330,1118,0,0,0,0,0
103483,-70,0,0,0,0,0
56210,2695,0,0,0,0,0
56221,444,444,444,0,0,0
11306,95,95,95,0,0,0
11336,719,719,719,0,0,0
11337,385,385,385,0,0,0
11345,1083,1083,1083,0,0,0
11352,1430,1430,1430,0,0,0
103489,-544,0,0,0,0,0
56199,153,153,153,0,0,0
103518,-84,0,0,0,0,0
56247,9094,3053,3053,0,0,0
11304,5790,7,7,0,0,0
11329,126,126,126,0,0,0
56235,481,481,481,0,0,0
11280,6779,1304,1304,0,0,0
56206,221,221,221,0,0,0
11223,59,59,59,0,0,0
11374,318,318,318,0,0,0
56225,154,154,154,0,0,0
56219,28320,28320,28320,0,0,0
56245,1433,1433,1433,0,0,0
11262,4573,4573,4573,0,0,0
11291,3692,3692,3692,0,0,0
56195,725,725,725,0,0,0
11370,702,702,702,0,0,0
11307,997,0,0,0,0,0
10556,-50,0,0,0,0,0
871,25000,0,0,0,0,0
112,-36504,0,0,0,0,0
11258,4871,0,0,0,0,0
11259,798,0,0,0,0,0
10615,-14000,0,0,0,0,0
10614,-50000,0,0,0,0,0
11295,11036,0,0,0,0,0
11296,1399,0,0,0,0,0
11320,8300,0,0,0,0,0
11229,1776,0,0,0,0,0
11230,607,0,0,0,0,0
11275,702,0,0,0,0,0
11255,6611,0,0,0,0,0
11283,351,0,0,0,0,0
103466,-41,0,0,0,0,0
10633,-10000,0,0,0,0,0
11233,950,0,0,0,0,0
11234,731,0,0,0,0,0
11299,1271,0,0,0,0,0
11316,553,0,0,0,0,0
10609,-4000,0,0,0,0,0
10593,-1800,0,0,0,0,0
11224,3565,0,0,0,0,0
11225,3423,0,0,0,0,0
11277,956,0,0,0,0,0
10601,-9234,0,0,0,0,0
11231,942,0,0,0,0,0
103464,-35,0,0,0,0,0
11285,6815,0,0,0,0,0
11318,8500,0,0,0,0,0
103473,-209,0,0,0,0,0
10553,-1400,0,0,0,0,0
11309,1400,0,0,0,0,0
10635,-9300,0,0,0,0,0
11315,9300,0,0,0,0,0
11240,1211,0,0,0,0,0
11294,2277,0,0,0,0,0
11265,5400,0,0,0,0,0
11269,715,0,0,0,0,0
56217,150,0,0,0,0,0
56253,8878,0,0,0,0,0
11333,4580,0,0,0,0,0
11334,681,0,0,0,0,0
11369,1715,0,0,0,0,0
56226,1444,0,0,0,0,0
103480,-271,0,0,0,0,0
56202,28,0,0,0,0,0
56231,4055,0,0,0,0,0
56236,1435,0,0,0,0,0
11331,6750,0,0,0,0,0
56238,220,0,0,0,0,0
total due: 234109, total paid: 128996
8-2017
56315,98,98,98,0,0,0
56336,61,61,61,0,0,0
11398,930,0,0,0,0,0
10789,-300,0,0,0,0,0
11496,3000,3000,3000,0,0,0
11470,6021,0,0,0,0,0
11482,501,0,0,0,0,0
103531,-116,0,0,0,0,0
10771,-5000,0,0,0,0,0
total due: 5195, total paid: 3159
9-2017
56293,14254,0,0,0,0,0
103512,-54,0,0,0,0,0
103513,-82,0,0,0,0,0
11453,1200,0,0,0,0,0
11478,450,450,450,0,0,0
56292,74,0,0,0,0,0
11418,767,767,767,0,0,0
11475,767,0,0,0,0,0
11491,374,0,0,0,0,0
11380,146,146,146,0,0,0
11440,13,13,13,0,0,0
56318,233,0,0,0,0,0
10682,-131,0,0,0,0,0
11382,100,0,0,0,0,0
11386,1472,0,0,0,0,0
11459,295,0,0,0,0,0
total due: 19878, total paid: 1376
9-2017
56145,37492,25759,25759,0,0,0
11250,750,0,0,0,0,0
11251,12,0,0,0,0,0
11317,674,0,0,0,0,0
11239,856,856,856,0,0,0
11308,1516,1516,1516,0,0,0
56196,279,0,0,0,0,0
11150,11672,0,0,0,0,0
11158,398,0,0,0,0,0
total due: 53649, total paid: 28131
9-2017
103535,-702,0,0,0,0,0
56319,12780,0,0,0,0,0
56289,11919,0,0,0,0,0
56266,28,0,0,0,0,0
56262,130,0,0,0,0,0
56269,10160,10160,10160,0,0,0
11429,234,234,234,0,0,0
11432,267,267,267,0,0,0
56268,10585,0,0,0,0,0
11391,335,335,335,0,0,0
56329,3466,0,0,0,0,0
11467,848,0,0,0,0,0
11417,2854,0,0,0,0,0
11441,8160,0,0,0,0,0
56261,596,0,0,0,0,0
11446,410,0,0,0,0,0
56285,8003,0,0,0,0,0
10780,-2500,0,0,0,0,0
10781,-2500,0,0,0,0,0
11457,13550,0,0,0,0,0
56287,1322,0,0,0,0,0
56281,725,0,0,0,0,0
56296,13396,0,0,0,0,0
56298,475,0,0,0,0,0
56274,14561,14561,14561,0,0,0
11462,2344,2344,2344,0,0,0
11465,7700,0,0,0,0,0
56297,883,0,0,0,0,0
56278,604,0,0,0,0,0
56259,811,0,0,0,0,0
11449,384,0,0,0,0,0
11450,337,0,0,0,0,0
11474,337,0,0,0,0,0
56335,2036,0,0,0,0,0
56257,3842,3842,3842,0,0,0
56304,1084,0,0,0,0,0
56258,835,0,0,0,0,0
27929,-360,0,0,0,0,0
103509,-1151,0,0,0,0,0
56270,9385,0,0,0,0,0
11419,1512,0,0,0,0,0
11476,159,0,0,0,0,0
56286,1160,0,0,0,0,0
56308,608,0,0,0,0,0
11402,1432,1432,1432,0,0,0
11411,129,129,129,0,0,0
56303,1943,0,0,0,0,0
103504,-478,0,0,0,0,0
11415,830,129,129,0,0,0
56299,370,370,370,0,0,0
11479,1633,1633,1633,0,0,0
56302,585,0,0,0,0,0
56282,1891,0,0,0,0,0
56279,2176,2176,2176,0,0,0
56290,8422,0,0,0,0,0
11480,5484,0,0,0,0,0
11395,627,627,627,0,0,0
56312,1963,0,0,0,0,0
56328,867,0,0,0,0,0
56314,15015,0,0,0,0,0
11466,4797,0,0,0,0,0
56337,21248,0,0,0,0,0
56333,555,0,0,0,0,0
103505,-736,0,0,0,0,0
11447,12407,0,0,0,0,0
11451,234,0,0,0,0,0
56324,13203,0,0,0,0,0
11387,790,0,0,0,0,0
11421,3920,0,0,0,0,0
11492,510,0,0,0,0,0
10779,-2000,0,0,0,0,0
11499,228,0,0,0,0,0
56275,4231,0,0,0,0,0
103507,-293,0,0,0,0,0
11381,12620,0,0,0,0,0
11393,4613,0,0,0,0,0
11414,910,0,0,0,0,0
103506,-594,0,0,0,0,0
11433,713,0,0,0,0,0
56321,4321,0,0,0,0,0
11431,2878,0,0,0,0,0
10742,-22655,110,0,0,110,0
11488,948,0,0,0,0,0
103534,-632,0,0,0,0,0
11489,1624,0,0,0,0,0
103536,-204,0,0,0,0,0
10787,-800,0,0,0,0,0
11500,15681,0,0,0,0,0
11501,17679,0,0,0,0,0
56263,2916,0,0,0,0,0
11383,24818,0,0,0,0,0
11384,1613,0,0,0,0,0
11401,702,0,0,0,0,0
11427,2566,0,0,0,0,0
11456,1400,0,0,0,0,0
103517,-1364,0,0,0,0,0
11458,882,0,0,0,0,0
56295,743,0,0,0,0,0
11377,3763,0,0,0,0,0
11502,2808,0,0,0,0,0
11493,848,0,0,0,0,0
11494,107,0,0,0,0,0
11483,9435,0,0,0,0,0
total due: 331934, total paid: 38349
9-2017
56397,4137,0,0,0,0,0
11615,2254,0,0,0,0,0
11556,1850,0,0,0,0,0
56355,81,0,0,0,0,0
103542,-176,0,0,0,0,0
